label,desc
Northern Ireland; Emissions: Urban Mainstream; 1st IMD quintile; Sparse and rural,Below average for all emissions scores; in most deprived quintile (20%); Local authority predominately made up of large and low-density rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 1st IMD quintile; Urban,Below average for all emissions scores; in most deprived quintile (20%); Local authority predominately made up of urban neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 1st IMD quintile; Rural,Below average for all emissions scores; in most deprived quintile (20%); Local authority predominately made up of rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 1st IMD quintile; Urban with rural areas,"Below average for all emissions scores; in most deprived quintile (20%); Local authority mostly made up of urban neighbourhoods, but with a significant number of rural neighbourhoods"
Northern Ireland; Emissions: Urban Mainstream; 2nd IMD quintile; Sparse and rural,Below average for all emissions scores; in second most deprived quintile (20%); Local authority predominately made up of large and low-density rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 2nd IMD quintile; Urban,Below average for all emissions scores; in second most deprived quintile (20%); Local authority predominately made up of urban neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 2nd IMD quintile; Rural,Below average for all emissions scores; in second most deprived quintile (20%); Local authority predominately made up of rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 2nd IMD quintile; Urban with rural areas,"Below average for all emissions scores; in second most deprived quintile (20%); Local authority mostly made up of urban neighbourhoods, but with a significant number of rural neighbourhoods"
Northern Ireland; Emissions: Urban Mainstream; 3rd IMD quintile; Sparse and rural,Below average for all emissions scores; in middle deprivation quintile (20%); Local authority predominately made up of large and low-density rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 3rd IMD quintile; Urban,Below average for all emissions scores; in middle deprivation quintile (20%); Local authority predominately made up of urban neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 3rd IMD quintile; Rural,Below average for all emissions scores; in middle deprivation quintile (20%); Local authority predominately made up of rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 3rd IMD quintile; Urban with rural areas,"Below average for all emissions scores; in middle deprivation quintile (20%); Local authority mostly made up of urban neighbourhoods, but with a significant number of rural neighbourhoods"
Northern Ireland; Emissions: Urban Mainstream; 4th IMD quintile; Sparse and rural,Below average for all emissions scores; in second least deprived quintile (20%); Local authority predominately made up of large and low-density rural neighbourhoods
Northern Ireland; Emissions: Urban Mainstream; 4th IMD quintile; Urban,Below average for all emissions scores; in second least deprived quintile (20%); Local authority predominately made up of urban neighbourhoods
